from,to,type
xgboost,htmlwidgets,Suggests
xgboost,igraph,Suggests
xgboost,knitr,Suggests
xgboost,RhpcBLASctl,Suggests
xgboost,rmarkdown,Suggests
xgboost,rsvg,Suggests
xgboost,survival,Suggests
xgboost,testthat,Suggests
xgboost,titanic,Suggests
xgboost,vcd,Suggests
xml2,cli,Imports
xml2,methods,Imports
xml2,rlang,Imports
xml2,covr,Suggests
xml2,curl,Suggests
xml2,httr,Suggests
xml2,knitr,Suggests
xml2,mockery,Suggests
xml2,rmarkdown,Suggests
xml2,testthat,Suggests
xml2,xslt,Suggests
yaml,knitr,Suggests
yaml,rmarkdown,Suggests
yaml,testthat,Suggests
